Date,Open,High,Low,Close,Adj Close,Volume
2017-08-28,29.559999,29.590000,29.180000,29.280001,29.280001,1639800
2017-08-29,29.360001,29.610001,29.299999,29.510000,29.510000,3439600
2017-08-30,29.459999,29.590000,29.280001,29.540001,29.540001,2782100
2017-08-31,29.590000,29.879999,29.580000,29.809999,29.809999,3045600
2017-09-01,29.820000,30.180000,29.820000,30.139999,30.139999,2500600
2017-09-05,30.110001,30.389999,29.959999,30.170000,30.170000,2903400
2017-09-06,30.209999,30.430000,30.059999,30.120001,30.120001,4136200
2017-09-07,30.160000,30.290001,30.070000,30.150000,30.150000,2519300
2017-09-08,30.129999,30.590000,30.030001,30.209999,30.209999,4924300
2017-09-11,30.250000,30.549999,30.170000,30.330000,30.330000,4214400
2017-09-12,30.280001,30.400000,29.639999,29.799999,29.799999,2545800
2017-09-13,29.780001,29.840000,29.360001,29.469999,29.469999,5297800
2017-09-14,29.549999,29.709999,29.320000,29.480000,29.480000,8135000
2017-09-15,29.540001,29.799999,29.440001,29.450001,29.450001,7466000
2017-09-18,29.480000,29.639999,29.290001,29.440001,29.440001,3817200
2017-09-19,29.480000,29.629999,29.049999,29.100000,29.100000,5575800
2017-09-20,29.209999,29.379999,28.959999,29.040001,29.040001,2746300
2017-09-21,29.090000,29.139999,28.570000,28.570000,28.570000,3170100
2017-09-22,28.450001,28.549999,27.840000,27.870001,27.870001,4057400
2017-09-25,28.049999,28.290001,27.940001,28.139999,28.139999,2964300
2017-09-26,28.090000,28.120001,27.820000,28.020000,28.020000,4825400
2017-09-27,27.879999,27.980000,27.469999,27.660000,27.660000,4131100
2017-09-28,27.660000,27.905001,27.570000,27.840000,27.840000,2287889
